market_name, address, city,Telefon1,Telefon2,Website,contactmail,description
ABANT MARKET,Admiral Str.38  ,Berlin,0049 306152599,yok,yok,yok,Lebensmittel Einzelhandel
ADA MARKT,ada market Sonnenallee 55 12045 Berlin,Berlin,0049 1728957044,yok,https://www.adamarket.de/,info@adamarket.de,"Ada Market ist ein schnellwachsendes Unternehmen mit ca 15 qualifizierten Mitarbeitern. Unser Team verfügt bereits über eine zwanzigjährige Erfahrung und setzt im deutsch-türkischen Einzelhandel auf Modernität und Innovation. Der zufriedene Kunde steht bei uns im Vordergrund, daher legen wir einen besonderen Wert auf eine harmonische Stimmung und professionelle Beratung. Wir bemühen uns jeden Kundenwünsch zu erfüllen."
ADANA GIDA PAZARI,Friedrich Ebert Str. 67 PLZ: 48153,Münster,0049 251796976,yok,yok,yok,yok
AKIN MARKET,See Str.36 ,Berlin,0049 304544547,yok,yok,yok,yok
AKSARAY MARKET,Reichenberger Str.119 ,Berlin,,,,,
AKSUNGUR,Oranien Str.29 ,Berlin,,,,,
AKTIV FEINKOST,Olber Str.22 ,Berlin,,,,,
ALPACINO,Schliemann Str.1 ,Berlin,,,,,
ALTIN KASAP,Haupt Str.13 ,Berlin,,,,,
ANADOLU MARKET,Mariendorfer Damm 70 12109,Berlin,0049 3070765370,yok,yok,yok,yok
ANKARA DISCOUNT,Erk Str.21 ,Berlin,,,,,
ANKARA LEBENSMITTEL,Mühlen Str.62-65 ,Berlin,,,,,
ANTALYA EXOTENHAUS OBST &  GEMÜSE,Uhland Str.39 ,Berlin,,,,,
AY DISCOUNT,Karl-Marx Str.189 ,Berlin,,,,,
AZIZ ÖZCAN,Gorki Str.17 13507,Berlin,0049 304347151,yok,yok,yok,yok
BAKKALIM VERBRAUCHERMARKT GMBH,Münsterstraße 154 A ,Dortmund,0049 2314759670,yok,yok,yok,yok
BARIS MARKT,"Hauptstrasse 45, 79807, Lottstetten",Freiburg,0049 77459272630,0049 77459272631,http://barismarkt.de/,info@barismarkt.de,"Der Spezialist für türkische & mediterranische Lebensmittel, frisches Fisch, Fleisch, Gemüse und Obst.
Wir bieten unseren Kunden eine ausgezeichnete Auswahl an Lebensmitteln vorwiegend aus der türkischen und mediterranische Küche. Bei unseren Fisch- und Fleischsorten versprechen wir hervorragende Güte und Frische.
Neben der großen Auswahl an Feinkost, Fisch und Fleisch umfasst unser Sortiment auch eine Vielzahl an türkischen Spezialitäten und hochwertigen Haushaltswaren."
